clade_name	EFP1	EFP2	EFP3	EFP4	EK1	EK2	EK3	EK4	EHH1	EHH2	EHH3	EHH4	BM1	BM2	BM3	BM4	GS1	GS2	GS3	GS4	GN1
GGB61640	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.69815	0.4038	0.51621	0.31989	0.0	0.0	0.0	0.0	0.0
GGB81705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.69685	1.10575	0.5566	0.68678	0.0	0.0	0.0	0.0	0.0
GGB70902	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6954	0.29548	0.39515	1.06075	0.24213	0.30275	1.73001	1.20625	0.0
GGB81693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.66884	0.82457	0.28686	0.24239	0.0	0.0	0.0	0.0	0.0
GGB81960	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.65425	0.0	0.611	0.17223	0.0	0.0	0.0	0.0	0.0
GGB74269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64792	0.5245	0.57888	0.71684	0.0	0.0	0.0	0.0	0.0
GGB82821	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64019	0.08678	0.32015	0.50469	0.0	0.0	0.0	0.0	0.0
GGB50437	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.62872	0.00552	1.05671	0.38026	0.0	0.0	0.0	0.0	0.0
GGB81608	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.62186	1.52479	0.65238	2.13463	0.0	0.0	0.0	0.0	0.0
GGB81894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.60122	0.06948	0.06606	0.01443	0.0	0.0	0.0	0.0	0.0
GGB81843	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59847	0.69404	1.07402	4.4727	0.0	0.0	0.0	0.0	0.0
GGB81668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58075	0.65429	0.0	0.0011	0.0	0.0	0.0	0.0	0.0
GGB82269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.56646	0.06463	0.24673	0.52459	0.0	0.0	0.0	0.0	0.0
GGB83343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.55057	0.58392	0.02577	0.08109	0.0	0.0	0.0	0.0	0.0
GGB82863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.54658	0.14846	0.10471	0.07425	0.0	0.0	0.0	0.0	0.0
GGB81846	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.54283	0.01519	0.41487	0.41129	0.0	0.0	0.0	0.0	0.0
GGB84425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.53433	0.0256	0.33015	1.05522	0.0	0.0	0.0	0.0	0.0
GGB82250	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.53059	0.01126	0.16618	0.10532	0.0	0.0	0.0	0.0	0.0
GGB81965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52657	0.79115	0.32474	0.62828	0.0	0.0	0.0	0.0	0.0
GGB34404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52381	0.12831	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GGB81717	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51928	0.47697	0.3484	0.4523	0.0	0.0	0.0	0.0	0.0
GGB58482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51127	0.28953	0.20338	0.2357	0.0	0.0	0.0	0.0	0.0
GGB112676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.50295	0.11375	0.24123	5.29544	0.0	0.0	0.0	0.0	0.0
GGB66982	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48523	0.19919	0.57694	1.77489	0.0	0.0	0.0	0.0	0.0
GGB81856	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48227	0.10522	0.18976	4.26043	0.0	0.0	0.0	0.0	0.0
GGB56398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47475	1.36602	0.6374	0.26081	0.0	0.0	0.0	0.0	0.0
GGB81880	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46013	0.50238	0.0	0.26497	0.0	0.0	0.0	0.0	0.0
GGB82235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45789	2.08946	0.19266	1.31929	0.0	0.0	0.0	0.0	0.0
GGB81890	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45181	0.09426	0.47196	0.41953	0.0	0.0	0.0	0.0	0.0
GGB81794	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45093	0.64707	0.57581	0.20853	0.0	0.0	0.0	0.0	0.0
GGB83312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44569	0.06051	0.16338	0.33771	0.0	0.0	0.0	0.0	0.0
GGB40324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43278	0.07747	0.81735	0.8173	0.0	0.0	0.0	0.0	0.0
GGB81958	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42918	0.08073	0.40678	0.68565	0.0	0.0	0.0	0.0	0.0
GGB84464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42139	0.0	0.1657	0.0	0.0	0.07478	0.0	0.0	0.0
GGB82170	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41943	1.44862	0.61474	0.1661	0.0	0.0	0.0	0.0	0.0
GGB50180	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41439	0.36789	1.16634	0.63355	0.0	0.0	0.0	0.0	0.0
GGB33490	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39179	0.36482	0.38427	0.04811	0.0	0.0	0.0	0.0	0.0
GGB81701	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36065	0.52019	0.44276	0.09083	0.0	0.0	0.0	0.0	0.0
GGB25304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35916	0.15162	0.14608	0.24625	0.0	0.0	0.0	0.0	0.0
GGB56461	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35148	0.53046	0.45317	0.25876	1.12698	0.0	0.0	0.0	0.0
GGB82177	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34822	0.0083	0.00423	0.0	0.0	0.0	0.0	0.0	0.0
GGB36256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34579	0.69621	0.22903	0.6548	0.0	0.0	0.0	0.0	0.0
GGB84716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34209	0.05401	0.35066	0.25612	0.0	0.0	0.0	0.0	0.0
GGB70823	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33112	0.11838	0.25239	0.212	0.0	0.0	0.08136	0.36136	0.0
GGB56323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32516	0.67234	0.28068	0.17897	0.0	0.0	0.0	0.0	0.0
GGB84739	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3169	0.11917	0.17267	0.7388	0.0	0.02115	0.0041	0.06332	0.0
GGB84844	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31137	0.04599	0.02795	0.0	0.0	0.0	0.0	0.0	0.0
GGB56540	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30453	0.48428	0.23788	0.0617	0.0	0.0	0.0	0.0	0.0
GGB40474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29641	0.34181	0.24715	0.67702	0.0	0.0	0.0	0.0	0.0
Escherichia	0.0	0.00188	0.00649	0.0	0.33591	0.0	0.0	0.0	0.0	0.0	0.11896	0.02711	0.29097	0.04998	0.79654	0.01879	0.11031	0.47708	0.35556	0.0	0.0
GGB84791	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28369	0.16536	0.00157	0.0	0.0	0.0	0.0	0.0	0.0
GGB81841	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27579	0.00499	1.20696	0.10098	0.0	0.0	0.0	0.0	0.0
GGB25406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27313	0.25027	0.26112	0.18999	0.0	0.0	0.0	0.0	0.0
GGB101199	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27083	0.0	0.24439	0.33089	0.0	0.03297	0.0	0.46473	0.0
GGB61860	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26669	0.10013	0.38352	0.5326	0.0	0.0	0.0	0.0	0.0
GGB35203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25713	1.15096	0.47644	0.228	0.0	0.0	0.0	0.0	0.0
GGB50148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25169	0.17147	0.25322	0.16135	0.0	0.0	0.0	0.0	0.0
GGB82163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24975	0.65443	0.33044	0.19053	0.0	0.0	0.0	0.0	0.0
GGB81871	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24927	0.08201	0.13589	0.25199	0.0	0.0	0.0	0.0	0.0
GGB82220	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24882	0.20445	0.19559	0.16323	0.0	0.0	0.0	0.0	0.0
GGB82190	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24437	0.66334	0.0239	0.2378	0.0	0.0	0.0	0.0	0.0
GGB38298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24314	0.07608	0.12576	0.05457	1.12576	0.17625	0.11705	0.67194	0.0
GGB81685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23547	0.91204	0.33015	0.13033	0.0	0.0	0.0	0.0	0.0
GGB102691	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23348	0.71288	0.63714	2.76848	0.0	0.0	0.0	0.0	0.0
GGB50173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23324	0.01312	0.22818	0.16509	0.0	0.0	0.0	0.0	0.0
GGB32528	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22122	0.04323	0.19341	0.4547	0.48289	0.30914	0.58041	1.88523	0.0
GGB56465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20392	0.02134	0.19528	0.02236	0.0	0.0	0.11957	0.0	0.0
GGB84389	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19684	0.0	0.08754	0.34887	0.0	0.0	0.0	0.0	0.0
GGB45557	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19466	0.60523	0.24514	0.36328	0.0	0.15022	0.0	0.0	0.0
GGB82244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1922	0.73495	0.05784	0.0	0.0	0.0	0.0	0.0	0.0
GGB52905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18614	0.0	0.17388	0.22365	0.0	0.0	0.0	0.0	0.0
