Contig	GS	EFP	BM	GN	EK	EHH
BM1_k141_1021227	0	0	1	0	0	0
BM1_k141_1021298	0	0	1	0	0	0
BM1_k141_1021354	0	0	1	0	0	0
BM1_k141_1021389	0	0	1	0	0	0
BM1_k141_1021481	0	0	1	0	0	0
BM1_k141_1021711	0	0	1	0	0	0
BM1_k141_1021932	0	0	1	0	0	0
BM1_k141_1022077	0	0	1	0	0	0
BM1_k141_1022322	0	0	1	0	0	0
BM1_k141_1022467	0	0	1	0	0	0
BM1_k141_102315	0	0	1	0	0	0
BM1_k141_1023170	0	0	1	0	0	0
BM1_k141_1023243	0	0	1	0	0	0
BM1_k141_102333	0	0	1	0	0	0
BM1_k141_1023469	0	0	1	0	0	0
BM1_k141_102375	0	0	1	0	0	0
BM1_k141_1023954	0	0	1	0	0	0
BM1_k141_102414	0	0	1	0	0	0
BM1_k141_1024194	0	0	1	0	0	0
BM1_k141_102422	0	0	1	0	0	0
BM1_k141_1024224	0	0	1	0	0	0
BM1_k141_1024244	0	0	1	0	0	0
BM1_k141_1024987	0	0	1	0	0	0
BM1_k141_1025051	0	0	1	0	0	0
BM1_k141_1025164	0	0	1	0	0	0
BM1_k141_1025300	0	0	1	0	0	0
BM1_k141_10258	0	0	1	0	0	0
BM1_k141_1025836	0	0	1	0	0	0
BM1_k141_1025843	0	0	1	0	0	0
BM1_k141_102593	0	0	1	0	0	0
BM1_k141_1026023	0	0	0	0	0	0
BM1_k141_1026228	0	0	1	0	0	0
BM1_k141_1026466	0	0	1	0	0	0
BM1_k141_102658	0	0	1	0	0	0
BM1_k141_1026709	0	0	1	0	0	0
BM1_k141_1026726	0	0	1	0	0	0
BM1_k141_1026910	0	0	1	0	0	0
BM1_k141_1026937	0	0	1	0	0	0
BM1_k141_1026940	0	0	1	0	0	0
BM1_k141_1027462	0	0	1	0	0	0
BM1_k141_102754	0	0	1	0	0	0
BM1_k141_1027754	0	0	1	0	0	0
BM1_k141_1027888	0	0	1	0	0	0
BM1_k141_1028310	0	0	1	0	0	0
BM1_k141_1028447	0	0	1	0	0	0
BM1_k141_1028633	0	0	1	0	0	0
BM1_k141_1028848	0	0	1	0	0	0
BM1_k141_1028993	0	0	1	0	0	0
BM1_k141_1029083	1	0	1	0	0	0
BM1_k141_1029124	0	0	1	0	0	0
BM1_k141_1029279	0	0	1	0	0	0
BM1_k141_1029291	0	0	1	0	0	0
BM1_k141_1029550	0	0	1	0	0	0
BM1_k141_102979	0	0	1	0	0	0
BM1_k141_1029881	0	0	1	0	0	0
BM1_k141_1029903	0	0	1	0	0	0
BM1_k141_102995	0	0	0	0	0	0
BM1_k141_1030081	0	0	1	0	0	0
BM1_k141_1030187	0	0	1	0	0	0
BM1_k141_1030273	0	0	1	0	0	0
BM1_k141_1030495	0	0	1	0	0	0
BM1_k141_10305	0	0	1	0	0	0
BM1_k141_1030544	0	0	1	0	0	0
BM1_k141_1030548	0	0	1	0	0	0
BM1_k141_1030691	0	0	1	0	0	0
BM1_k141_1030878	0	0	1	0	0	0
BM1_k141_1031079	0	0	1	0	0	0
BM1_k141_1031294	0	0	1	0	0	0
BM1_k141_1031455	0	0	1	0	0	0
BM1_k141_103170	0	0	1	0	0	0
BM1_k141_1031750	0	0	1	0	0	0
BM1_k141_1031753	0	0	1	0	0	0
BM1_k141_1031758	0	0	1	0	0	0
BM1_k141_1031802	0	0	1	0	0	0
BM1_k141_1031969	0	0	1	0	0	0
BM1_k141_1032293	0	0	1	0	0	0
BM1_k141_1032537	0	0	1	0	0	0
BM1_k141_1032779	0	0	0	0	0	0
BM1_k141_1032793	0	0	1	0	0	0
BM1_k141_1032831	0	0	1	0	0	0
BM1_k141_1032872	0	0	1	0	0	0
BM1_k141_1032972	0	0	1	0	0	0
BM1_k141_1033078	0	0	1	0	0	0
BM1_k141_1033348	0	0	1	0	0	0
BM1_k141_1033429	0	0	1	0	0	0
BM1_k141_1033560	0	0	1	0	0	0
BM1_k141_1033684	0	0	1	0	0	0
BM1_k141_1033759	0	0	1	0	0	0
BM1_k141_1034170	0	0	1	0	0	0
BM1_k141_1034218	0	0	1	0	0	0
BM1_k141_1034470	0	0	1	0	0	0
BM1_k141_1034594	0	0	1	0	0	0
BM1_k141_1034660	0	0	1	0	0	0
BM1_k141_1034788	0	0	1	0	0	0
BM1_k141_1035124	0	0	1	0	0	0
BM1_k141_1035166	0	0	1	0	0	0
BM1_k141_1035196	0	0	1	0	0	0
BM1_k141_1036027	0	0	1	0	0	0
BM1_k141_1036139	0	0	1	0	0	0
BM1_k141_1036297	0	0	1	0	0	0
BM1_k141_103636	0	0	1	0	0	0
BM1_k141_1036597	0	0	0	0	0	0
BM1_k141_1036851	0	0	1	0	0	0
BM1_k141_1037041	0	0	1	0	0	0
BM1_k141_1037065	0	0	1	0	0	0
BM1_k141_1037185	0	0	1	0	0	0
BM1_k141_103722	0	0	1	0	0	0
BM1_k141_1037265	0	0	1	0	0	0
BM1_k141_1037464	0	0	1	0	0	0
BM1_k141_1037641	0	0	1	0	0	0
BM1_k141_103777	0	0	1	0	0	0
BM1_k141_1037819	0	0	1	0	0	0
BM1_k141_1038182	0	0	0	0	0	0
BM1_k141_1038242	0	0	1	0	0	0
BM1_k141_1038754	0	0	1	0	0	0
BM1_k141_1038907	0	0	1	0	0	0
BM1_k141_1039237	0	0	1	0	0	0
BM1_k141_1039925	0	0	1	0	0	0
BM1_k141_1039953	0	0	1	0	0	0
BM1_k141_1040404	0	0	1	0	0	0
BM1_k141_1040509	0	0	1	0	0	0
BM1_k141_1040648	0	0	1	0	0	0
BM1_k141_1040800	0	0	0	0	0	0
BM1_k141_1040805	0	0	1	0	0	0
BM1_k141_1040944	0	0	1	0	0	0
BM1_k141_1041005	0	0	1	0	0	0
BM1_k141_1041156	0	0	1	0	0	0
BM1_k141_1041202	0	0	1	0	0	0
BM1_k141_104131	0	0	1	0	0	0
BM1_k141_1041648	0	0	1	0	0	0
BM1_k141_1041793	0	0	1	0	0	0
BM1_k141_1042026	0	0	1	0	0	0
BM1_k141_1042096	0	0	1	0	0	0
BM1_k141_1042142	0	0	1	0	0	0
BM1_k141_1042340	0	0	1	0	0	0
BM1_k141_1042400	0	0	1	0	0	0
BM1_k141_1042421	0	0	0	0	0	0
BM1_k141_1042536	0	0	1	0	0	0
BM1_k141_1042699	0	0	1	0	0	0
BM1_k141_1042718	0	0	1	0	0	0
BM1_k141_1042818	0	0	1	0	0	0
BM1_k141_1042907	0	0	0	0	0	0
BM1_k141_1043122	0	0	1	0	0	0
BM1_k141_1043280	0	0	1	0	0	0
BM1_k141_1043566	0	0	1	0	0	0
BM1_k141_1043708	0	0	1	0	0	0
BM1_k141_1043785	0	0	1	0	0	0
BM1_k141_1043805	0	0	1	0	0	0
BM1_k141_1043815	0	0	1	0	0	0
BM1_k141_1043886	0	0	1	0	0	0
BM1_k141_1043921	0	0	1	0	0	0
BM1_k141_1044151	0	0	1	0	0	0
BM1_k141_1044260	0	0	0	0	0	0
BM1_k141_1044368	0	0	1	0	0	0
BM1_k141_1044403	0	0	1	0	0	0
BM1_k141_1044411	0	0	1	0	0	0
BM1_k141_104454	0	0	1	0	0	0
BM1_k141_1044862	0	0	1	0	0	0
BM1_k141_1045023	0	0	1	0	0	0
BM1_k141_1045067	0	0	1	0	0	0
BM1_k141_1045140	0	0	1	0	0	0
BM1_k141_1045194	0	0	1	0	0	0
BM1_k141_1045230	0	0	1	0	0	0
BM1_k141_1045316	0	0	1	0	0	0
BM1_k141_1045425	0	0	1	0	0	0
BM1_k141_1045615	0	0	1	0	0	0
BM1_k141_1045747	0	0	1	0	0	0
BM1_k141_1045844	0	0	1	0	0	0
BM1_k141_1046176	0	0	1	0	0	0
BM1_k141_1046398	0	0	1	0	0	0
BM1_k141_1046437	0	0	1	0	0	0
BM1_k141_1046502	0	0	1	0	0	0
BM1_k141_1046684	0	0	1	0	0	0
BM1_k141_1046744	0	0	1	0	0	0
BM1_k141_1047243	0	0	1	0	0	0
BM1_k141_1047553	0	0	1	0	0	0
BM1_k141_1047571	0	0	1	0	0	0
BM1_k141_1047615	0	0	1	0	0	0
BM1_k141_1047659	0	0	1	0	0	0
BM1_k141_104770	0	0	1	0	0	0
BM1_k141_1047742	0	0	1	0	0	0
BM1_k141_1048892	0	0	1	0	0	0
BM1_k141_1049359	0	0	1	0	0	0
BM1_k141_1049463	0	0	1	0	0	0
