Contig	EFP1	EFP2	EFP3	EFP4	EK1	EK2	EK3	EK4	EHH1	EHH2	EHH3	EHH4	BM1	BM2	BM3	BM4	GS1	GS2	GS3	GS4	GN1
BM1_k141_1009396	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0
BM1_k141_1009546	0	0	0	0	0	0	0	0	0	0	0	0	76	34	40	125	0	0	0	0	0
BM1_k141_1009689	0	0	0	0	0	0	0	0	0	0	0	0	6	0	2	2	0	0	0	0	0
BM1_k141_1009696	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	0	0	0	0	0
BM1_k141_10101	0	0	0	0	0	0	0	0	0	0	0	0	44	28	0	0	0	0	0	0	0
BM1_k141_1010293	0	0	0	0	0	0	0	0	0	0	0	0	34	6	2	0	0	0	0	0	0
BM1_k141_1010415	0	0	0	0	0	0	0	0	0	0	0	0	14	0	1	0	0	0	0	0	0
BM1_k141_1010512	0	0	0	0	0	0	0	0	0	0	0	0	102	12	106	92	0	0	0	0	0
BM1_k141_1010535	0	0	0	0	0	0	0	0	0	0	0	0	15	9	0	0	0	0	0	0	0
BM1_k141_1010604	0	0	0	0	0	0	0	0	0	0	0	0	10	4	3	7	0	0	0	0	0
BM1_k141_1010780	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	5	0	0	0	0	0
BM1_k141_1010863	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0
BM1_k141_101088	0	0	0	0	0	0	0	0	0	0	0	0	12	3	0	18	0	0	0	0	0
BM1_k141_1011000	0	0	0	0	0	0	0	0	0	0	0	0	8	0	1	0	0	0	0	3	0
BM1_k141_1011108	0	0	0	0	0	0	0	0	0	2	0	0	209	0	0	0	0	0	0	0	0
BM1_k141_1011476	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
BM1_k141_1011658	0	0	0	0	0	0	0	0	0	0	0	0	8	2	0	1	0	0	0	0	0
BM1_k141_1011865	0	0	0	0	0	0	0	0	0	0	0	0	6	26	0	0	0	0	0	0	0
BM1_k141_1011914	0	0	0	0	0	0	0	0	0	0	0	0	13	0	4	0	0	0	0	0	0
BM1_k141_1011979	0	0	0	0	0	0	0	0	0	0	0	0	9	0	7	3	0	0	0	0	0
