clade_name	EFP1	EFP2	EFP3	EFP4	EK1	EK2	EK3	EK4	EHH1	EHH2	EHH3	EHH4	BM1	BM2	BM3	BM4	GS1	GS2	GS3	GS4	GN1
GGB143176_SGB114514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.73074	0.05005	0.67709	0.0479	0.0	0.0	0.0	0.0	0.0
Arthrobacter_SGB107631	0.76231	2.09756	3.81345	3.35047	0.23828	0.03848	0.0	0.0	2.05885	0.0897	0.02394	0.08144	0.71349	0.98167	0.93948	0.21109	0.32559	2.12619	0.49866	0.09242	0.0
GGB39511_SGB113062	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.70368	1.0875	0.26225	0.27124	0.0	0.0	0.0	0.0	0.0
GGB70902_SGB95357	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6954	0.29548	0.39515	1.06075	0.0	0.07447	0.14816	0.0137	0.0
GGB81693_SGB112830	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.66884	0.77436	0.24383	0.24239	0.0	0.0	0.0	0.0	0.0
GGB24796_SGB114506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.66055	0.76475	1.52559	0.92311	0.0	0.0	0.0	0.0	0.0
GGB50303_SGB70379	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.65841	0.45161	0.15415	0.0	0.0	0.0	0.0	0.0	0.0
GGB81960_SGB113180	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.65425	0.0	0.611	0.17192	0.0	0.0	0.0	0.0	0.0
GGB74269_SGB48157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64792	0.5245	0.57888	0.71684	0.0	0.0	0.0	0.0	0.0
GGB82821_SGB114879	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64019	0.08678	0.32015	0.50469	0.0	0.0	0.0	0.0	0.0
GGB50437_SGB70527	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.61688	0.00552	1.03653	0.37769	0.0	0.0	0.0	0.0	0.0
GGB81843_SGB112487	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59847	0.69404	1.07402	4.4727	0.0	0.0	0.0	0.0	0.0
GGB81668_SGB112974	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58075	0.65429	0.0	0.0011	0.0	0.0	0.0	0.0	0.0
GGB82269_SGB113814	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.56646	0.06463	0.24673	0.52459	0.0	0.0	0.0	0.0	0.0
GGB83343_SGB116998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.55057	0.58392	0.02577	0.08109	0.0	0.0	0.0	0.0	0.0
